lg_country_code,city_name,zone_name,created_date_local,promised_delivery_time_bucket_min,gross_orders,successful_orders,distance_order_count,surge_multiplier,mean_delay,cvr,healthy_vendor_availability_sessions
no,Oslo,Baerum,2025-07-11,28.0,44,41,4635.3571428571431,0,5.7299556583647089,0.225,0.97101449275362317
no,Oslo,Baerum,2025-07-11,29.0,36,35,3887.4285714285716,0,6.9877599095048488,0.18120805369127516,0.950354609929078
no,Oslo,Baerum,2025-07-11,30.0,17,16,4989.4375,0,4.524938966156892,0.16,0.98863636363636365
no,Oslo,Baerum,2025-07-11,31.0,8,7,3305.0,0,12.127681034332632,0.22222222222222221,0.73770491803278693
no,Oslo,Baerum,2025-07-11,32.0,4,4,3576.0,0,8.1937238711283129,0.078947368421052627,0.94117647058823528
no,Oslo,Baerum,2025-07-11,33.0,2,2,8951.5,0,10.494288558039539,0.18181818181818182,1.0
no,Oslo,Baerum,2025-07-11,37.0,3,3,7201.666666666667,0,12.73911201509207,0.1,0.7142857142857143
no,Oslo,Baerum,2025-07-11,38.0,4,4,8086.0,0,7.3909703901065145,0.16666666666666666,0.31578947368421051
no,Oslo,Baerum,2025-07-12,,5,4,2779.25,,6.1564184712132048,0.21739130434782608,0.72222222222222221
no,Oslo,Baerum,2025-07-12,18.0,1,1,4069.0,,4.870460172533174,0.1,0.94444444444444442
no,Oslo,Baerum,2025-07-12,19.0,4,4,1782.75,0,7.5424742750679021,0.30769230769230771,0.92307692307692313
no,Oslo,Baerum,2025-07-12,20.0,9,9,2382.7777777777778,0,6.5868653376586517,0.27906976744186046,0.975
no,Oslo,Baerum,2025-07-12,21.0,19,19,3425.7894736842104,0,4.1100595375501774,0.17543859649122806,0.86915887850467288
no,Oslo,Baerum,2025-07-12,22.0,16,15,3466.2666666666669,0,4.9830581273913932,0.19540229885057472,0.90909090909090906
no,Oslo,Baerum,2025-07-12,23.0,23,23,3378.2272727272725,0,6.3622512969824889,0.24719101123595505,0.97647058823529409
no,Oslo,Baerum,2025-07-12,24.0,27,27,3995.962962962963,0,6.129379206781767,0.22448979591836735,0.97037037037037033
no,Oslo,Baerum,2025-07-12,25.0,78,76,3919.090909090909,0,4.3198954037828639,0.23508771929824562,0.97254901960784312
no,Oslo,Baerum,2025-07-12,26.0,82,81,3667.2875,0,4.7219082199100129,0.23118279569892472,0.94626865671641791
no,Oslo,Baerum,2025-07-12,27.0,16,16,4553.25,0,4.7309450801845241,0.21428571428571427,0.987012987012987
no,Oslo,Baerum,2025-07-12,28.0,39,39,3348.9230769230771,0,7.6983462316853766,0.21276595744680851,0.96212121212121215
no,Oslo,Baerum,2025-07-12,29.0,14,14,5475.6153846153848,0,7.8243628519282176,0.21739130434782608,0.975609756097561
no,Oslo,Baerum,2025-07-12,30.0,14,14,3888.4285714285716,0,10.07481835473984,0.29333333333333333,0.95588235294117652
no,Oslo,Baerum,2025-07-12,32.0,12,12,5195.083333333333,0,12.438566287914192,0.20454545454545456,0.90243902439024393
no,Oslo,Baerum,2025-07-12,35.0,7,7,4051.1428571428573,0,14.762912973222695,0.3125,1.0
no,Oslo,Baerum,2025-07-12,37.0,1,1,1744.0,0.504784689,25.113516320105493,0.0,1.0
no,Oslo,Baerum,2025-07-12,46.0,4,3,4479.333333333333,1.342335187,27.880576811133441,0.14285714285714285,1.0
no,Oslo,Baerum,2025-07-12,51.0,1,1,8360.0,0.671167593,21.919996248603542,0.0,1.0
no,Oslo,Baerum,2025-07-13,,5,1,4958.0,0,14.679139284522982,0.12121212121212122,0.6333333333333333
no,Oslo,Baerum,2025-07-13,16.0,2,2,1369.5,0,5.88231623578903,0.33333333333333331,1.0
no,Oslo,Baerum,2025-07-13,18.0,1,1,2074.0,,8.131597673607617,0.0,0.25
no,Oslo,Baerum,2025-07-13,19.0,8,8,2320.125,0,4.7554879654148356,0.175,0.89189189189189189
no,Oslo,Baerum,2025-07-13,21.0,1,1,3982.0,0,6.4682681671951894,0.047619047619047616,1.0
no,Oslo,Baerum,2025-07-13,22.0,13,13,4800.6153846153848,0,4.7502367786078548,0.36734693877551022,0.9375
no,Oslo,Baerum,2025-07-13,24.0,51,51,2682.66,0,9.9022695425999,0.25896414342629481,0.95111111111111113
no,Oslo,Baerum,2025-07-13,25.0,34,33,2676.705882352941,0,10.288866727872112,0.2,0.968944099378882
no,Oslo,Baerum,2025-07-13,26.0,6,6,3744.3333333333335,0,9.0712464973958582,0.12195121951219512,0.82857142857142863
no,Oslo,Baerum,2025-07-13,27.0,63,62,3969.8225806451615,0,8.9360083062277234,0.2421875,0.948936170212766
no,Oslo,Baerum,2025-07-13,28.0,20,18,2947.6842105263158,0,11.618831251469453,0.24324324324324326,0.92156862745098034
no,Oslo,Baerum,2025-07-13,29.0,27,27,5050.1153846153848,0,10.832619521038408,0.23684210526315788,0.97101449275362317
no,Oslo,Baerum,2025-07-13,30.0,156,152,4247.6381578947367,0.010194878,10.822515714547185,0.24774774774774774,0.94660194174757284
no,Oslo,Baerum,2025-07-13,31.0,30,29,6614.3214285714284,0,8.0766823167880748,0.25833333333333336,0.98245614035087714
no,Oslo,Baerum,2025-07-13,32.0,48,47,4302.416666666667,0,14.177038593375103,0.27814569536423839,0.9642857142857143
no,Oslo,Baerum,2025-07-13,33.0,11,11,5032.7,0,12.940067484656151,0.22857142857142856,1.0
no,Oslo,Baerum,2025-07-13,34.0,43,42,4776.53488372093,0,10.32481936968224,0.22580645161290322,0.95321637426900585
no,Oslo,Baerum,2025-07-13,35.0,15,13,2711.8461538461538,1.055003427,18.602788502735446,0.21621621621621623,0.88405797101449279
no,Oslo,Baerum,2025-07-13,37.0,40,40,5126.3076923076924,0.04794379,14.209291880536707,0.20398009950248755,0.978494623655914
no,Oslo,Baerum,2025-07-13,39.0,37,37,4578.1111111111113,0.277225879,16.365018320418425,0.24475524475524477,0.96124031007751942
no,Oslo,Baerum,2025-07-14,,1,1,5917.0,0,0.0,0.2,1.0
no,Oslo,Baerum,2025-07-14,15.0,3,3,1146.3333333333333,0,7.0495884903296107,0.0,0.875
no,Oslo,Baerum,2025-07-14,21.0,10,10,2098.9,0,7.1100153393928229,0.20253164556962025,0.87142857142857144
no,Oslo,Baerum,2025-07-14,23.0,2,2,7670.5,0,4.9160679285756537,0.22222222222222221,0.56
no,Oslo,Baerum,2025-07-14,24.0,12,12,3520.3333333333335,0,9.6436051748247369,0.14942528735632185,0.93243243243243246
no,Oslo,Baerum,2025-07-14,25.0,16,14,3953.0714285714284,0,9.0375010815362611,0.1875,0.9885057471264368
no,Oslo,Baerum,2025-07-14,26.0,31,30,3630.7666666666669,0,9.4746414011212927,0.26956521739130435,0.941747572815534
no,Oslo,Baerum,2025-07-14,27.0,6,5,2721.2,0,10.874903726890032,0.17543859649122806,0.96153846153846156
no,Oslo,Baerum,2025-07-14,28.0,13,13,4699.3846153846152,0,9.27449902946919,0.22916666666666666,0.95238095238095233
no,Oslo,Baerum,2025-07-14,29.0,52,49,4059.625,0.004734261,10.689871405620297,0.22340425531914893,0.89221556886227549
no,Oslo,Baerum,2025-07-14,30.0,69,68,4431.2941176470586,0,12.379407341583837,0.24749163879598662,0.98467432950191569
no,Oslo,Baerum,2025-07-14,31.0,17,16,4722.9375,0,10.54110077779985,0.20224719101123595,0.92307692307692313
